[2024-06-08 17:56:12] info: 	z2m: Logging to console, file (filename: log.log)
[2024-06-08 17:56:12] info: 	z2m: Starting Zigbee2MQTT version 1.38.0 (commit #fe048e6)
[2024-06-08 17:56:12] info: 	z2m: Starting zigbee-herdsman (0.49.2)
[2024-06-08 17:56:13] warning: 	zh:ezsp: Deprecated driver 'ezsp' currently in use, 'ember' will become the officially supported EmberZNet driver in next release. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2024-06-08 17:56:20] error: 	zh:ezsp:uart: --> Error: Error: {"sequence":1} after 4000ms
[2024-06-08 17:56:20] error: 	zh:ezsp:uart: -!- break waiting (1)
[2024-06-08 17:56:20] error: 	zh:ezsp:uart: Can't send DATA frame (0,1,0): 1800012800
[2024-06-08 17:56:22] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-06-08 17:56:22] info: 	z2m: zigbee-herdsman started (resumed)
[2024-06-08 17:56:22] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"}'
[2024-06-08 17:56:22] info: 	z2m: Currently 0 devices are joined:
[2024-06-08 17:56:22] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-06-08 17:56:22] warning: 	z2m: Allowing new devices to join.
[2024-06-08 17:56:22] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-06-08 17:56:22] info: 	z2m: Zigbee: allowing new devices to join.
[2024-06-08 17:56:22] info: 	z2m:mqtt: Connecting to MQTT server at mqtt://mqtt
[2024-06-08 17:56:22] info: 	z2m:mqtt: Connected to MQTT server
[2024-06-08 17:56:22] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/bridge/state', payload 'online'
[2024-06-08 17:56:23] info: 	z2m: Started frontend on port 8080
[2024-06-08 17:56:23] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/bridge/config', payload '{"commit":"fe048e6","coordinator":{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"},"log_level":"info","network":{"channel":11,"extendedPanID":221,"panID":6754},"permit_join":true,"version":"1.38.0"}'
[2024-06-08 17:56:23] info: 	z2m: Zigbee2MQTT started!
[2024-06-08 17:58:54] info: 	zh:controller: Interview for '0x001788010cd9261b' started
[2024-06-08 17:58:54] info: 	z2m: Device '0x001788010cd9261b' joined
[2024-06-08 17:58:54] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0x001788010cd9261b","ieee_address":"0x001788010cd9261b"},"type":"device_joined"}'
[2024-06-08 17:58:54] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/bridge/log', payload '{"message":{"friendly_name":"0x001788010cd9261b"},"type":"device_connected"}'
[2024-06-08 17:58:54] info: 	z2m: Starting interview of '0x001788010cd9261b'
[2024-06-08 17:58:54] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0x001788010cd9261b","ieee_address":"0x001788010cd9261b","status":"started"},"type":"device_interview"}'
[2024-06-08 17:58:54] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/bridge/log', payload '{"message":"interview_started","meta":{"friendly_name":"0x001788010cd9261b"},"type":"pairing"}'
[2024-06-08 17:58:59] info: 	zh:controller: Succesfully interviewed '0x001788010cd9261b'
[2024-06-08 17:58:59] info: 	z2m: Successfully interviewed '0x001788010cd9261b', device has successfully been paired
[2024-06-08 17:58:59] info: 	z2m: Device '0x001788010cd9261b' is supported, identified as: Philips Hue motion sensor (9290030675)
